x,y,z,target,amplitude,timestamp
39.8360953295,73.3473247909,76.8874424395,1,6.78604926345e-05,1560997687.57
41.2664385635,72.9921340246,77.1012997215,1,7.37630014178e-05,1560997690.26
78.0027225323,11.118202934,82.9054868849,1,0.000138268099573,1560997692.96
31.8593193149,-10.4474878731,102.475482827,1,0.00016423539456,1560997695.66
62.8342109473,-4.65514177519,67.2204458916,1,0.000278160883942,1560997698.37
68.1800470563,-39.4401889211,61.5641965603,1,0.000125328028806,1560997701.06
41.2547096546,73.1474398643,76.7201064063,1,7.32824533317e-05,1560997703.75
40.4717493854,72.1668730974,78.6458273183,1,7.01684468242e-05,1560997706.44
48.0751827997,74.6197688061,71.4331097403,1,7.23985866454e-05,1560997709.13
40.8715374047,74.0297944323,75.6273760773,1,7.34697331739e-05,1560997711.84
39.9858558251,72.5913038944,77.4933091667,1,6.94812390568e-05,1560997714.53
40.2879121851,73.8926451611,76.0726790064,1,7.50511430226e-05,1560997717.22
41.1542639923,73.2665927033,76.5416107129,1,7.13863846935e-05,1560997719.91
41.8323639572,75.0712315889,74.1659762218,1,6.79333656139e-05,1560997722.6
39.9079774654,74.6355735746,75.9945760314,1,7.99585897525e-05,1560997725.29
40.0297358997,75.1756609675,75.2168106041,1,7.54278969397e-05,1560997727.98
39.8523931018,74.0718550273,76.8560400126,1,7.45918624199e-05,1560997730.67
40.7035233052,74.1076504263,76.0164777591,1,7.16083967779e-05,1560997733.36
41.0222053915,74.5347865914,75.7065485167,1,6.8080400879e-05,1560997736.05
49.4155492171,75.3658157995,69.528674252,1,6.41830683572e-05,1560997738.74
39.9187865674,74.6132636021,76.1990146053,1,6.69602486824e-05,1560997741.43
40.3199991239,73.7561186321,76.0595160241,1,7.63458614581e-05,1560997744.12
40.8036204358,73.4077167221,75.9126468149,1,6.91516483153e-05,1560997746.81
40.7688579936,73.2032635481,75.9112022617,1,7.59072797036e-05,1560997749.5
40.9676967016,75.5285723934,73.9109085326,1,7.25509468825e-05,1560997752.19
40.4707654358,74.8355555901,75.262976661,1,7.18876520509e-05,1560997754.88
47.0445623595,77.602161736,68.4655242752,1,6.77735030719e-05,1560997757.57
48.9420260905,77.0902953779,68.5091000956,1,7.31926534045e-05,1560997760.26
47.7915891005,77.7436293816,68.118749006,1,6.77814136792e-05,1560997762.95
40.2471261918,74.0809663001,76.2197876157,1,7.64317365258e-05,1560997765.64
39.3192724075,74.6245504709,75.4604185722,1,7.08298509092e-05,1560997768.33
40.6390502254,74.6517382454,75.954913381,1,7.33033788803e-05,1560997771.01
41.2338835603,74.9739076081,74.376771121,1,7.23941810112e-05,1560997773.7
41.0292791008,73.2561925561,76.2661884439,1,6.624774944e-05,1560997776.4
48.5460338523,77.817036584,68.3734131873,1,7.15613782351e-05,1560997779.08
41.662996128,72.4896730664,76.6980256988,1,7.41610241612e-05,1560997781.77
49.1614215896,77.8222314273,67.7925771596,1,6.23440441739e-05,1560997784.47
39.7160357203,74.194263624,75.9710552556,1,7.77858565641e-05,1560997787.16
40.0330468169,74.9012560908,75.3382045374,1,7.0985962537e-05,1560997789.84
39.3874731099,76.4958883665,73.6505368101,1,7.1947309315e-05,1560997792.54
42.1146327712,72.279443165,77.4656556095,1,6.82223689433e-05,1560997795.23
42.98481622,74.3954795933,73.8485960626,1,6.94587979008e-05,1560997797.92
42.1690247485,72.6341639401,76.2738119184,1,7.37170844343e-05,1560997800.61
40.2670249797,73.4082396247,76.785940959,1,7.39573470197e-05,1560997803.3
46.8729186085,77.9605954489,68.2366933448,1,7.43097783339e-05,1560997805.99
51.969075471,77.3056369634,66.6080058053,1,7.18772259711e-05,1560997808.68
39.8873877194,73.0428924323,76.0195723969,1,6.67395090518e-05,1560997811.37
40.7960106116,72.9138750233,76.9187777838,1,6.94245488973e-05,1560997814.07
47.4779746329,77.1866650568,68.6738964299,1,7.13135955467e-05,1560997816.76
49.1971108427,75.5810987475,69.4930460829,1,6.63849289826e-05,1560997819.71
39.1300521131,74.5703645501,75.679151806,1,6.84071965248e-05,1560997822.32
40.5022940669,71.8378123765,78.7226448659,1,7.04412615765e-05,1560997824.93
41.1197414561,73.410217354,76.1937139614,1,7.34525102503e-05,1560997827.54
41.210210325,73.6362868655,75.9196074723,1,6.69878308505e-05,1560997830.15
42.2954233037,74.5309319326,74.4734090675,1,7.53274676985e-05,1560997832.79
40.5197078252,74.553794341,75.5738826742,1,6.97980768315e-05,1560997835.4
39.5494596988,72.6518583694,78.4043922762,1,7.06412579535e-05,1560997838.01
40.2098638475,75.1464371081,74.7150819451,1,6.98001549885e-05,1560997840.63
49.8057028518,78.9414216098,66.0970938773,1,7.78994805892e-05,1560997843.24
40.6934115616,74.3526741284,75.7363773461,1,7.17068359268e-05,1560997845.86
47.4735330954,77.8297960946,68.3411162014,1,6.51890382669e-05,1560997848.46
40.1245683084,74.7016611769,75.0999188788,1,7.4443220376e-05,1560997851.07
40.2614848605,73.9775035787,75.7884224283,1,7.29463248689e-05,1560997853.68
41.2374002546,73.2895512073,75.922480301,1,7.00398742078e-05,1560997856.29
40.5710153573,74.2722709545,75.7509656968,1,6.68491034883e-05,1560997858.9
48.1597794048,76.6009207662,68.3810888872,1,7.50181592145e-05,1560997861.51
49.7104974442,77.5948663531,67.3518644256,1,6.90825311168e-05,1560997864.12
47.7693141496,77.4393550571,68.9498678142,1,7.45426085939e-05,1560997866.73
49.8041729937,75.3123652711,69.4956639512,1,7.46205312896e-05,1560997869.35
47.2932298827,77.8515586966,68.0579145828,1,7.09799853494e-05,1560997871.95
47.6414395018,77.7059812309,68.4417407474,1,7.07306234418e-05,1560997874.5
41.863180361,75.0454702612,73.9581039954,1,7.13986676691e-05,1560997876.97
41.6189261063,73.3674060692,76.0492835281,1,7.28944347753e-05,1560997879.44
48.7437962917,77.3427362813,67.7446551942,1,7.59619624944e-05,1560997881.91
40.3709099957,73.4608743745,75.3529234691,1,7.21919990668e-05,1560997884.37
39.8807321691,74.042293893,76.1858826744,1,6.90411150811e-05,1560997886.84
40.3799816581,74.2299436848,76.0999625201,1,7.23363582023e-05,1560997889.31
48.6189761593,76.2224074287,69.639437931,1,6.99567254945e-05,1560997891.78
39.7540727479,73.9566888572,75.9601161792,1,7.47475293144e-05,1560997895.22
48.5498496985,76.1419839961,71.059462393,1,6.92599322678e-05,1560997897.71
50.0389602278,75.1286114472,69.5498876935,1,7.21712619893e-05,1560997900.2
49.4901678179,79.3561440712,63.5326092317,1,6.66675987582e-05,1560997902.72
46.83820067,77.9746323186,68.1157132007,1,6.53822319999e-05,1560997905.21
49.2040075286,77.0551553789,68.8030259436,1,7.44438304112e-05,1560997907.7
40.7605614902,73.7452946779,76.320820785,1,7.24619603441e-05,1560997910.19
49.1109826941,77.4401705244,67.6761860432,1,6.69237095389e-05,1560997912.68
42.2029137811,74.5764499856,74.0578393309,1,7.36475655131e-05,1560997915.17
47.5557751179,77.3493258948,67.9371858947,1,7.22430787079e-05,1560997917.66
47.2454369018,77.7072308869,68.0101908585,1,7.14849797437e-05,1560997920.15
47.4886598534,76.9984085618,68.3826401609,1,7.4078634379e-05,1560997922.64
48.8914522905,76.7471970765,69.0024920991,1,7.44048484862e-05,1560997925.11
40.069115872,74.5330320804,75.8806752648,1,7.05231160786e-05,1560997927.58
49.5793273422,76.2474589215,68.5384012739,1,6.90135268544e-05,1560997930.05
48.2595753684,75.7046032205,69.7143632191,1,7.28546409828e-05,1560997932.52
41.0491573104,72.182460876,77.1110191316,1,7.39361942894e-05,1560997935.6
48.6096724795,76.3312839178,69.2804515594,1,7.23022291486e-05,1560997938.07
49.482465311,75.8826449564,69.1157757408,1,7.14879496482e-05,1560997940.54
41.1392845378,73.2539235121,76.1201463931,1,6.98898523508e-05,1560997943.0
50.7498337607,76.8813464618,66.5598058857,1,7.47962410273e-05,1560997945.47
49.2516374682,77.6351473684,66.7405134787,1,7.28785439771e-05,1560997947.93
